ID,Loan_Type,Gender,Age,Degree,Income,Credit_score,Loan_length,Signers,Citizenship,Default
78,Car ,Female,47,College ,110486,605,2,2,Citizen    ,0
79,Car ,Male  ,36,HS      ,91003,584,1,2,Citizen    ,0
80,Car ,Female,46,Gradaute,87658,688,2,2,Citizen    ,0
81,Home,Male  ,35,HS      ,67801,514,6,2,Citizen    ,0
82,Car ,Female,44,HS      ,107880,654,0,2,Citizen    ,0
83,Car ,Female,42,College ,126326,608,3,1,Citizen    ,0
84,Car ,Female,43,HS      ,94438,687,1,2,Citizen    ,0
85,Home,Male  ,33,HS      ,95915,557,5,2,Citizen    ,0
86,Car ,Male  ,47,College ,75815,582,2,2,Citizen    ,0
87,Car ,Female,44,HS      ,109771,596,2,2,Citizen    ,0
88,Home,Male  ,41,HS      ,99144,621,13,2,Citizen    ,0
89,Car ,Female,42,Gradaute,118537,623,2,2,Citizen    ,0
90,Car ,Female,44,HS      ,132693,660,2,1,Citizen    ,0
91,Car ,Male  ,40,HS      ,108362,703,1,2,Citizen    ,0
92,Car ,Female,40,HS      ,104512,701,0,1,Citizen    ,0
93,Car ,Female,39,College ,113403,657,1,2,Non-citizen,0
94,Car ,Male  ,41,HS      ,82365,572,0,2,Citizen    ,0
95,Car ,Female,36,HS      ,113265,596,1,2,Citizen    ,0
96,Car ,Female,38,HS      ,84750,598,0,2,Citizen    ,0
97,Car ,Male  ,49,HS      ,100032,584,2,2,Citizen    ,0
98,Car ,Male  ,32,College ,94471,468,3,2,Citizen    ,0
99,Car ,Male  ,37,HS      ,61508,562,2,2,Citizen    ,0
100,Car ,Female,55,College ,128124,691,3,2,Citizen    ,0
101,Car ,Male  ,48,HS      ,104622,626,2,1,Citizen    ,0
102,Car ,Male  ,41,HS      ,101887,526,1,2,Citizen    ,0
103,Car ,Male  ,37,College ,94400,637,2,2,Citizen    ,0
104,Car ,Female,50,College ,102471,571,1,2,Citizen    ,0
105,Car ,Male  ,54,Gradaute,118278,471,3,2,Citizen    ,0
106,Car ,Female,62,College ,98850,622,1,2,Citizen    ,0
107,Car ,Female,51,College ,121978,644,3,2,Citizen    ,0
108,Home,Male  ,47,HS      ,116594,650,7,2,Citizen    ,1
109,Car ,Female,47,HS      ,106577,712,2,1,Citizen    ,0
110,Home,Male  ,42,HS      ,82115,578,7,2,Citizen    ,0
111,Home,Female,37,HS      ,88622,523,5,2,Citizen    ,0
112,Car ,Male  ,41,College ,106759,580,3,1,Citizen    ,0
113,Home,Female,26,College ,95496,649,5,2,Citizen    ,0
114,Car ,Female,46,College ,78871,583,1,2,Citizen    ,0
115,Home,Female,37,College ,72233,583,6,2,Citizen    ,0
116,Car ,Male  ,44,HS      ,96670,720,1,2,Citizen    ,0
117,Car ,Female,56,College ,137669,689,1,1,Non-citizen,1
118,Car ,Female,50,College ,114114,696,2,2,Non-citizen,1
119,Car ,Female,41,College ,86496,604,2,2,Citizen    ,0
120,Car ,Female,31,HS      ,97583,506,0,2,Citizen    ,0
121,Car ,Male  ,37,HS      ,120005,502,2,2,Citizen    ,0
122,Home,Male  ,33,HS      ,104788,535,6,2,Citizen    ,0
123,Car ,Female,54,HS      ,91587,742,0,2,Citizen    ,1
124,Home,Male  ,46,College ,113556,613,10,2,Citizen    ,0
125,Car ,Male  ,52,Gradaute,101998,636,3,2,Non-citizen,0
126,Car ,Male  ,40,College ,111874,529,3,2,Citizen    ,0
127,Car ,Female,32,HS      ,122053,540,0,2,Citizen    ,0
128,Home,Male  ,44,HS      ,83691,521,5,2,Citizen    ,0
129,Car ,Female,38,HS      ,106560,558,0,2,Citizen    ,0
130,Car ,Male  ,41,College ,98747,596,1,2,Citizen    ,0
131,Car ,Male  ,37,HS      ,79054,632,0,2,Citizen    ,0
132,Home,Male  ,42,HS      ,70309,572,5,2,Citizen    ,0
133,Home,Male  ,37,HS      ,79672,552,3,2,Citizen    ,0
134,Car ,Female,41,HS      ,96418,657,1,1,Citizen    ,0
135,Home,Male  ,32,HS      ,105689,525,6,2,Citizen    ,0
136,Home,Female,41,College ,105493,718,8,2,Citizen    ,0
137,Car ,Male  ,48,HS      ,129293,706,2,2,Citizen    ,1
138,Car ,Male  ,38,HS      ,93754,588,0,2,Citizen    ,0
139,Car ,Female,51,HS      ,105797,580,2,2,Citizen    ,0
140,Car ,Male  ,41,College ,112033,563,2,2,Citizen    ,0
141,Car ,Male  ,48,College ,94165,583,2,2,Citizen    ,0
142,Home,Male  ,30,HS      ,71571,566,1,2,Citizen    ,0
143,Car ,Female,44,College ,104553,688,2,2,Citizen    ,1
144,Home,Male  ,38,Gradaute,107839,682,12,2,Citizen    ,0
145,Car ,Female,42,HS      ,86878,487,2,2,Citizen    ,0
146,Car ,Male  ,56,College ,114940,633,2,2,Citizen    ,0
147,Car ,Male  ,47,College ,85479,653,1,2,Citizen    ,0
148,Home,Female,42,HS      ,84707,627,6,2,Citizen    ,0
149,Home,Male  ,47,College ,65487,504,9,2,Citizen    ,0
150,Car ,Female,35,HS      ,95957,625,0,2,Citizen    ,0
151,Car ,Male  ,35,HS      ,121765,568,3,2,Citizen    ,0
152,Car ,Male  ,46,College ,94219,701,1,2,Citizen    ,0
153,Car ,Female,41,HS      ,95467,639,1,2,Non-citizen,0
154,Car ,Male  ,40,HS      ,81158,625,1,2,Citizen    ,0
155,Home,Male  ,30,HS      ,55276,535,5,2,Citizen    ,0
156,Car ,Female,39,College ,92009,738,1,2,Citizen    ,1
157,Car ,Female,31,HS      ,99295,572,0,2,Citizen    ,0
158,Home,Male  ,36,College ,105141,593,8,2,Citizen    ,0
159,Car ,Male  ,46,HS      ,83935,767,1,2,Citizen    ,0
160,Home,Male  ,39,HS      ,112444,537,3,2,Citizen    ,0
161,Car ,Male  ,49,HS      ,109448,601,2,2,Citizen    ,0
162,Car ,Female,37,HS      ,88295,601,0,2,Citizen    ,0
163,Car ,Male  ,52,HS      ,101542,552,2,2,Citizen    ,0
164,Home,Male  ,49,HS      ,105387,585,12,2,Citizen    ,0
165,Car ,Male  ,36,HS      ,105836,505,1,2,Citizen    ,0
166,Car ,Male  ,47,HS      ,98693,662,2,2,Citizen    ,0
167,Home,Male  ,45,HS      ,103574,521,10,2,Citizen    ,0
168,Home,Male  ,44,HS      ,85816,605,9,2,Citizen    ,0
169,Car ,Male  ,52,HS      ,105639,822,0,2,Citizen    ,0
170,Home,Female,44,HS      ,110446,621,6,2,Citizen    ,0
171,Car ,Male  ,40,College ,96149,560,2,2,Citizen    ,0
172,Car ,Female,56,HS      ,129233,659,0,2,Citizen    ,0
173,Car ,Male  ,48,College ,142083,683,2,2,Citizen    ,0
174,Car ,Female,37,HS      ,96187,600,1,2,Citizen    ,0
175,Home,Female,43,College ,115134,578,10,2,Citizen    ,0
176,Home,Male  ,36,HS      ,53709,541,7,2,Citizen    ,0
177,Car ,Female,55,HS      ,117622,575,0,2,Non-citizen,0
178,Car ,Male  ,50,College ,128119,822,3,2,Citizen    ,0
179,Car ,Female,41,HS      ,90013,595,2,2,Citizen    ,0
180,Car ,Male  ,31,HS      ,61786,533,0,2,Citizen    ,0
181,Home,Female,34,College ,64024,693,5,2,Citizen    ,0
182,Car ,Male  ,45,College ,75261,602,2,2,Citizen    ,0
183,Home,Female,42,College ,106206,570,4,2,Citizen    ,0
184,Car ,Female,43,College ,120510,595,0,2,Citizen    ,0
185,Home,Male  ,33,HS      ,116700,549,1,2,Citizen    ,0
186,Home,Male  ,32,HS      ,87202,575,3,2,Citizen    ,0
187,Car ,Male  ,40,HS      ,83125,569,0,2,Citizen    ,0
188,Car ,Male  ,42,HS      ,83844,650,0,2,Citizen    ,0
189,Car ,Male  ,43,HS      ,100112,453,2,2,Citizen    ,0
190,Car ,Male  ,49,Gradaute,126511,716,3,2,Citizen    ,0
191,Car ,Male  ,50,HS      ,106383,535,1,2,Non-citizen,0
192,Car ,Male  ,46,HS      ,102451,559,2,2,Citizen    ,0
193,Home,Female,38,Gradaute,87650,641,5,2,Citizen    ,1
194,Home,Male  ,46,HS      ,105334,534,10,2,Citizen    ,0
195,Car ,Male  ,39,HS      ,101608,522,0,2,Citizen    ,0
196,Home,Male  ,42,HS      ,108430,629,13,2,Citizen    ,0
197,Car ,Female,48,HS      ,115372,591,2,2,Citizen    ,0
198,Car ,Female,41,HS      ,101821,655,2,2,Citizen    ,0
199,Car ,Male  ,39,HS      ,101002,629,3,2,Citizen    ,0
200,Car ,Female,48,College ,108378,688,0,2,Non-citizen,0
201,Car ,Male  ,44,Gradaute,87408,537,3,2,Citizen    ,0
202,Home,Male  ,53,College ,112383,671,8,2,Citizen    ,0
203,Home,Male  ,31,HS      ,108061,614,9,2,Citizen    ,1
204,Car ,Female,39,HS      ,101420,701,2,2,Citizen    ,0
205,Car ,Male  ,35,College ,93252,517,1,2,Citizen    ,0
206,Car ,Male  ,45,HS      ,79590,629,2,2,Citizen    ,0
207,Car ,Female,53,HS      ,106569,701,1,2,Citizen    ,0
208,Home,Male  ,45,College ,109824,708,9,2,Non-citizen,0
209,Home,Female,36,HS      ,112640,649,4,2,Citizen    ,0
210,Car ,Female,47,HS      ,71524,644,0,2,Citizen    ,0
211,Car ,Female,29,HS      ,45103,585,0,2,Citizen    ,0
212,Car ,Female,51,HS      ,106947,700,1,2,Citizen    ,0
213,Home,Female,47,HS      ,90422,598,3,2,Citizen    ,0
214,Car ,Male  ,46,HS      ,120777,658,2,2,Citizen    ,1
215,Home,Male  ,42,HS      ,113592,588,5,2,Citizen    ,0
216,Home,Male  ,36,HS      ,97782,638,6,2,Citizen    ,0
217,Car ,Female,43,HS      ,109092,649,0,2,Citizen    ,0
218,Home,Male  ,44,HS      ,88268,608,7,1,Citizen    ,0
219,Car ,Male  ,50,HS      ,97334,626,0,2,Citizen    ,1
220,Car ,Female,39,HS      ,95519,563,1,2,Citizen    ,0
221,Home,Male  ,48,College ,57502,579,9,2,Citizen    ,0
222,Home,Male  ,33,HS      ,98858,616,7,2,Citizen    ,0
223,Car ,Male  ,44,HS      ,77614,614,0,2,Citizen    ,0
224,Car ,Male  ,46,College ,89245,649,2,2,Citizen    ,0
225,Car ,Female,40,College ,95368,638,1,2,Citizen    ,0
226,Car ,Female,42,HS      ,123815,684,3,2,Citizen    ,0
227,Home,Male  ,50,HS      ,106085,664,2,2,Citizen    ,0
228,Car ,Male  ,50,HS      ,118184,645,1,2,Citizen    ,0
229,Car ,Male  ,31,HS      ,75153,522,0,2,Citizen    ,0
230,Car ,Female,38,HS      ,102509,512,3,2,Citizen    ,0
231,Car ,Male  ,47,HS      ,110604,576,1,2,Citizen    ,0
232,Home,Female,51,Gradaute,110699,683,3,2,Citizen    ,1
233,Home,Female,43,HS      ,72684,625,4,2,Citizen    ,0
234,Car ,Male  ,42,HS      ,81629,690,0,2,Citizen    ,0
235,Home,Male  ,41,HS      ,47859,517,1,2,Citizen    ,0
236,Car ,Male  ,38,HS      ,97805,561,0,2,Citizen    ,0
237,Car ,Female,48,College ,95118,696,1,1,Citizen    ,0
238,Home,Male  ,35,HS      ,85182,603,4,2,Citizen    ,0
239,Car ,Female,41,HS      ,69221,697,0,2,Citizen    ,0
240,Home,Male  ,38,College ,84649,578,6,2,Citizen    ,0
241,Car ,Female,49,College ,101001,719,1,2,Citizen    ,0
242,Home,Male  ,39,HS      ,87312,571,3,2,Citizen    ,0
243,Car ,Female,44,College ,100978,685,2,2,Citizen    ,1
244,Home,Female,45,HS      ,98420,592,3,2,Citizen    ,0
245,Car ,Male  ,35,HS      ,76690,517,0,2,Citizen    ,0
246,Car ,Male  ,49,HS      ,105512,669,0,2,Citizen    ,0
247,Car ,Male  ,38,HS      ,83456,512,2,2,Citizen    ,0
248,Car ,Male  ,49,College ,107705,695,3,2,Citizen    ,0
249,Car ,Female,45,HS      ,102789,549,1,2,Citizen    ,0
250,Car ,Male  ,37,College ,65698,620,1,2,Citizen    ,0
251,Car ,Male  ,49,HS      ,84677,566,0,2,Citizen    ,0
252,Car ,Male  ,53,HS      ,126542,659,3,2,Citizen    ,0
253,Car ,Female,46,HS      ,117076,584,2,2,Citizen    ,0
254,Car ,Male  ,53,HS      ,105099,583,0,2,Citizen    ,0
255,Car ,Male  ,51,College ,98294,558,3,2,Citizen    ,0
256,Car ,Male  ,38,HS      ,93933,637,1,2,Citizen    ,0
258,Home,Female,34,HS      ,82406,601,3,2,Citizen    ,0
259,Car ,Male  ,47,HS      ,96505,635,1,2,Citizen    ,0
260,Car ,Male  ,43,College ,102415,688,2,2,Citizen    ,0
261,Car ,Female,45,HS      ,94892,643,0,2,Citizen    ,0
262,Car ,Female,42,HS      ,80752,616,0,2,Citizen    ,0
263,Home,Female,34,HS      ,107424,539,1,2,Citizen    ,0
264,Car ,Female,45,Gradaute,127969,662,3,2,Citizen    ,0
265,Home,Female,50,HS      ,107040,584,4,2,Citizen    ,0
266,Home,Male  ,42,HS      ,56255,630,6,2,Citizen    ,0
267,Car ,Male  ,40,College ,85385,678,3,2,Citizen    ,0
268,Home,Male  ,42,HS      ,78929,579,1,2,Citizen    ,0
269,Car ,Female,48,HS      ,101432,598,1,2,Citizen    ,0
270,Car ,Female,44,College ,138385,558,2,2,Citizen    ,0
271,Car ,Female,57,Gradaute,93078,707,3,1,Citizen    ,0
272,Home,Male  ,38,College ,95156,619,7,2,Citizen    ,0
273,Home,Male  ,42,HS      ,96701,588,8,1,Citizen    ,0
274,Home,Male  ,44,HS      ,100606,579,9,1,Citizen    ,0
275,Home,Male  ,29,HS      ,94702,464,4,2,Citizen    ,0
276,Car ,Male  ,44,College ,116089,608,1,2,Citizen    ,0
277,Car ,Female,44,HS      ,91502,726,0,2,Citizen    ,0
278,Home,Male  ,41,HS      ,79165,634,3,2,Citizen    ,0
279,Car ,Male  ,40,HS      ,62904,666,0,2,Citizen    ,0
280,Home,Male  ,40,HS      ,111836,616,3,2,Non-citizen,0
281,Car ,Female,37,HS      ,108773,579,0,2,Citizen    ,0
282,Car ,Male  ,44,College ,127623,642,2,2,Citizen    ,0
283,Car ,Male  ,47,HS      ,90080,698,0,2,Citizen    ,1
284,Home,Female,43,HS      ,112638,564,6,2,Citizen    ,1
285,Car ,Male  ,40,HS      ,69589,630,0,2,Citizen    ,0
286,Home,Male  ,30,HS      ,89490,565,2,2,Citizen    ,0
287,Car ,Male  ,35,HS      ,92995,463,0,2,Citizen    ,0
288,Car ,Male  ,44,College ,92371,624,3,2,Citizen    ,0
289,Car ,Male  ,36,HS      ,114615,684,2,2,Citizen    ,0
290,Home,Male  ,39,HS      ,103997,590,6,2,Citizen    ,0
291,Home,Female,38,College ,108771,592,13,2,Citizen    ,0
292,Home,Male  ,33,HS      ,92762,524,10,2,Citizen    ,0
293,Car ,Female,49,College ,93237,666,1,2,Citizen    ,0
294,Car ,Male  ,37,HS      ,91143,571,0,2,Citizen    ,0
295,Car ,Female,43,HS      ,97926,510,0,2,Citizen    ,0
296,Home,Female,50,HS      ,139022,682,10,1,Non-citizen,0
297,Car ,Male  ,32,HS      ,64108,629,0,2,Citizen    ,0
298,Home,Male  ,39,HS      ,91205,519,1,2,Citizen    ,0
299,Car ,Male  ,41,HS      ,98098,679,1,2,Citizen    ,0
300,Car ,Male  ,33,HS      ,73509,510,0,2,Citizen    ,0
301,Car ,Female,52,HS      ,134028,625,2,2,Citizen    ,0
302,Home,Male  ,31,HS      ,94993,654,5,2,Citizen    ,0
303,Car ,Male  ,37,HS      ,66753,504,0,2,Citizen    ,0
304,Home,Female,40,HS      ,97553,631,1,2,Citizen    ,0
305,Home,Male  ,37,HS      ,47752,512,7,2,Citizen    ,0
306,Home,Male  ,38,HS      ,94635,629,9,2,Citizen    ,0
307,Home,Female,44,HS      ,104991,506,6,2,Citizen    ,0
308,Car ,Female,42,HS      ,111666,479,0,2,Citizen    ,0
309,Car ,Male  ,45,College ,90679,617,1,2,Citizen    ,0
310,Car ,Male  ,36,College ,90156,659,2,2,Citizen    ,0
311,Home,Male  ,45,HS      ,111981,715,7,2,Citizen    ,0
312,Car ,Male  ,41,College ,123681,575,1,2,Citizen    ,0
313,Car ,Male  ,43,HS      ,106828,673,0,2,Citizen    ,0
314,Car ,Male  ,44,HS      ,126459,647,3,2,Citizen    ,0
315,Car ,Male  ,45,HS      ,102523,592,0,2,Citizen    ,0
316,Car ,Male  ,33,HS      ,60002,728,1,2,Citizen    ,0
317,Home,Male  ,37,HS      ,90529,596,8,2,Citizen    ,0
318,Car ,Female,41,HS      ,90085,616,0,2,Citizen    ,0
319,Home,Male  ,35,HS      ,94422,577,4,2,Citizen    ,0
320,Car ,Male  ,47,HS      ,107142,591,1,2,Citizen    ,0
321,Home,Male  ,30,HS      ,117138,535,6,2,Citizen    ,0
322,Car ,Female,35,HS      ,74330,638,1,1,Citizen    ,0
323,Car ,Female,45,HS      ,113073,599,0,2,Citizen    ,0
324,Home,Male  ,35,HS      ,73092,523,6,2,Citizen    ,0
325,Car ,Male  ,52,HS      ,109324,582,2,2,Citizen    ,0
326,Car ,Male  ,38,College ,105928,614,2,2,Citizen    ,0
327,Car ,Female,37,College ,107889,597,0,2,Citizen    ,0
328,Home,Male  ,37,HS      ,93045,443,6,2,Citizen    ,0
329,Car ,Female,46,HS      ,92836,624,0,1,Citizen    ,0
330,Car ,Male  ,45,HS      ,85088,622,1,2,Citizen    ,0
331,Home,Male  ,34,HS      ,61951,494,4,2,Citizen    ,0
332,Car ,Male  ,49,HS      ,104406,643,1,2,Citizen    ,0
333,Car ,Male  ,42,HS      ,77268,634,2,2,Citizen    ,0
334,Home,Female,40,College ,99521,595,7,2,Citizen    ,0
335,Home,Male  ,47,HS      ,111971,560,2,2,Citizen    ,0
336,Car ,Male  ,42,HS      ,85432,530,1,2,Citizen    ,0
337,Car ,Male  ,38,HS      ,108023,626,0,2,Citizen    ,0
338,Car ,Male  ,43,HS      ,89821,631,1,2,Citizen    ,0
339,Car ,Male  ,56,Gradaute,116286,701,2,2,Non-citizen,1
340,Car ,Female,44,HS      ,86820,744,0,1,Citizen    ,0
341,Home,Male  ,37,HS      ,92839,718,8,2,Citizen    ,0
342,Car ,Female,43,College ,98519,637,2,2,Citizen    ,0
343,Car ,Male  ,42,HS      ,72996,553,0,2,Citizen    ,0
344,Car ,Female,51,College ,109867,635,3,2,Citizen    ,0
345,Car ,Female,51,College ,104754,627,2,2,Citizen    ,0
346,Car ,Male  ,36,HS      ,109294,509,1,2,Citizen    ,0
347,Car ,Male  ,58,HS      ,111420,633,2,2,Citizen    ,0
348,Car ,Female,45,College ,111484,644,2,1,Non-citizen,1
349,Home,Male  ,33,College ,95112,666,6,2,Citizen    ,0
350,Car ,Female,42,HS      ,100902,564,0,2,Citizen    ,0
351,Home,Female,48,Gradaute,86260,668,11,2,Citizen    ,0
352,Home,Male  ,44,HS      ,76710,542,6,2,Citizen    ,0
353,Car ,Male  ,40,College ,103332,614,1,2,Citizen    ,0
354,Home,Male  ,47,HS      ,104901,518,9,2,Citizen    ,0
355,Car ,Female,42,HS      ,100738,653,0,2,Citizen    ,0
356,Home,Female,39,HS      ,109824,650,7,2,Citizen    ,0
357,Car ,Male  ,35,HS      ,105831,540,1,2,Citizen    ,0
358,Car ,Female,45,College ,98573,656,0,2,Citizen    ,0
359,Car ,Female,41,College ,108167,574,2,2,Citizen    ,0
360,Home,Male  ,38,HS      ,99921,499,10,2,Citizen    ,0
361,Home,Male  ,33,HS      ,78738,433,5,2,Citizen    ,0
362,Home,Female,37,Gradaute,106738,592,8,2,Citizen    ,0
363,Car ,Male  ,40,HS      ,95502,567,0,2,Citizen    ,0
364,Car ,Male  ,39,HS      ,91658,403,1,2,Citizen    ,0
365,Car ,Female,43,HS      ,76332,674,0,2,Citizen    ,0
366,Car ,Female,51,Gradaute,124592,796,3,2,Non-citizen,1
367,Car ,Male  ,49,College ,84298,589,3,2,Citizen    ,0
368,Home,Male  ,43,HS      ,119009,587,8,2,Citizen    ,0
369,Car ,Male  ,40,HS      ,90963,627,2,2,Citizen    ,0
370,Car ,Female,40,HS      ,115422,672,0,1,Citizen    ,0
371,Car ,Male  ,27,HS      ,82144,550,0,2,Citizen    ,0
372,Home,Male  ,39,HS      ,90919,527,4,2,Citizen    ,0
373,Car ,Female,53,College ,101185,709,3,1,Citizen    ,1
374,Car ,Male  ,38,HS      ,104208,667,0,2,Citizen    ,0
375,Home,Male  ,44,HS      ,84069,720,4,2,Citizen    ,0
376,Home,Male  ,26,HS      ,79546,546,4,2,Citizen    ,0
377,Car ,Male  ,42,College ,81982,454,1,2,Citizen    ,0
378,Car ,Female,51,HS      ,118404,655,2,1,Citizen    ,0
379,Car ,Male  ,46,College ,83902,641,2,2,Citizen    ,0
380,Car ,Male  ,53,HS      ,132712,647,2,2,Citizen    ,0
381,Car ,Female,49,Gradaute,105788,682,3,2,Citizen    ,0
382,Car ,Female,51,HS      ,70941,634,1,2,Citizen    ,0
383,Home,Male  ,38,HS      ,100456,455,8,2,Citizen    ,0
384,Home,Female,37,HS      ,98387,532,2,2,Citizen    ,0
385,Home,Male  ,32,HS      ,78638,501,5,2,Citizen    ,0
386,Car ,Male  ,42,College ,133041,641,0,2,Citizen    ,1
387,Home,Male  ,44,HS      ,106028,586,4,2,Citizen    ,0
388,Car ,Male  ,41,College ,118404,690,0,2,Citizen    ,1
389,Home,Female,44,HS      ,73558,641,8,2,Citizen    ,0
390,Car ,Male  ,51,HS      ,121742,675,1,2,Citizen    ,0
391,Car ,Female,44,HS      ,123021,693,1,2,Citizen    ,0
392,Car ,Male  ,49,HS      ,121560,664,3,2,Citizen    ,0
393,Home,Male  ,44,HS      ,127522,595,7,2,Citizen    ,0
394,Home,Female,45,HS      ,79765,514,3,2,Citizen    ,0
395,Home,Female,35,HS      ,110407,636,2,2,Citizen    ,0
396,Car ,Male  ,40,HS      ,106680,711,1,2,Citizen    ,0
397,Car ,Female,51,Gradaute,102979,693,3,1,Non-citizen,0
398,Car ,Male  ,46,HS      ,123397,700,2,1,Non-citizen,0
399,Home,Male  ,26,HS      ,80687,502,4,2,Citizen    ,0
400,Car ,Female,35,College ,96089,586,1,1,Citizen    ,0
401,Car ,Female,44,College ,110755,749,2,2,Citizen    ,0
402,Car ,Female,47,Gradaute,99830,675,3,2,Non-citizen,0
403,Home,Female,37,HS      ,121760,687,5,2,Citizen    ,0
404,Home,Male  ,41,HS      ,99238,518,7,2,Citizen    ,0
405,Car ,Male  ,38,HS      ,98333,600,1,1,Citizen    ,0
